xmin	xmax	key	clickSelects.variable	clickSelects.value	showSelected.variable	showSelected.value	PANEL	group
3.975	4.025	1	pred.diff	4	pred.diff	4	1	1
4.025	4.075	4.05 4	pred.diff	4.05	pred.diff	4	1	61
4.075	4.125	4.1 4	pred.diff	4.1	pred.diff	4	1	120
4.125	4.175	4.15 4	pred.diff	4.15	pred.diff	4	1	179
4.175	4.225	4.2 4	pred.diff	4.2	pred.diff	4	1	238
4.225	4.275	4.25 4	pred.diff	4.25	pred.diff	4	1	297
4.275	4.325	4.3 4	pred.diff	4.3	pred.diff	4	1	356
4.325	4.375	4.35 4	pred.diff	4.35	pred.diff	4	1	415
4.375	4.425	4.4 4	pred.diff	4.4	pred.diff	4	1	474
4.425	4.475	4.45 4	pred.diff	4.45	pred.diff	4	1	533
4.475	4.525	4.5 4	pred.diff	4.5	pred.diff	4	1	592
4.525	4.575	4.55 4	pred.diff	4.55	pred.diff	4	1	651
4.575	4.625	4.6 4	pred.diff	4.6	pred.diff	4	1	710
4.625	4.65908372720142	4.65 4	pred.diff	4.65	pred.diff	4	1	769
4.65908372720142	4.68408372720142	4.66816745440284 4	pred.diff	4.66816745440284	pred.diff	4	1	828
4.68408372720142	4.725	4.7 4	pred.diff	4.7	pred.diff	4	1	887
4.725	4.775	4.75 4	pred.diff	4.75	pred.diff	4	1	946
4.775	4.82051369969827	4.8 4	pred.diff	4.8	pred.diff	4	1	1005
4.82051369969827	4.84551369969827	4.84102739939653 4	pred.diff	4.84102739939653	pred.diff	4	1	1064
4.84551369969827	4.875	4.85 4	pred.diff	4.85	pred.diff	4	1	1123
4.875	4.90990375303434	4.9 4	pred.diff	4.9	pred.diff	4	1	1182
4.90990375303434	4.93490375303434	4.91980750606868 4	pred.diff	4.91980750606868	pred.diff	4	1	1241
4.93490375303434	4.975	4.95 4	pred.diff	4.95	pred.diff	4	1	1300
4.975	5.025	5 4	pred.diff	5	pred.diff	4	1	1359
5.025	5.07133372553119	5.05 4	pred.diff	5.05	pred.diff	4	1	1418
5.07133372553119	5.09633372553119	5.09266745106238 4	pred.diff	5.09266745106238	pred.diff	4	1	1477
5.09633372553119	5.125	5.1 4	pred.diff	5.1	pred.diff	4	1	1536
5.125	5.15896075650531	5.15 4	pred.diff	5.15	pred.diff	4	1	1595
5.15896075650531	5.18396075650531	5.16792151301062 4	pred.diff	5.16792151301062	pred.diff	4	1	1654
5.18396075650531	5.225	5.2 4	pred.diff	5.2	pred.diff	4	1	1713
5.225	5.275	5.25 4	pred.diff	5.25	pred.diff	4	1	1772
5.275	5.325	5.3 4	pred.diff	5.3	pred.diff	4	1	1831
5.325	5.375	5.35 4	pred.diff	5.35	pred.diff	4	1	1890
5.375	5.40978078233823	5.4 4	pred.diff	5.4	pred.diff	4	1	1949
5.40978078233823	5.43478078233823	5.41956156467646 4	pred.diff	5.41956156467646	pred.diff	4	1	2008
5.43478078233823	5.4555176033482	5.45 4	pred.diff	5.45	pred.diff	4	1	2067
5.4555176033482	5.4805176033482	5.46103520669639 4	pred.diff	5.46103520669639	pred.diff	4	1	2126
5.4805176033482	5.525	5.5 4	pred.diff	5.5	pred.diff	4	1	2185
5.525	5.575	5.55 4	pred.diff	5.55	pred.diff	4	1	2244
5.575	5.61694757584504	5.6 4	pred.diff	5.6	pred.diff	4	1	2303
5.61694757584504	5.64194757584505	5.63389515169009 4	pred.diff	5.63389515169009	pred.diff	4	1	2362
5.64194757584505	5.675	5.65 4	pred.diff	5.65	pred.diff	4	1	2421
5.675	5.725	5.7 4	pred.diff	5.7	pred.diff	4	1	2480
5.725	5.775	5.75 4	pred.diff	5.75	pred.diff	4	1	2539
5.775	5.825	5.8 4	pred.diff	5.8	pred.diff	4	1	2598
5.825	5.875	5.85 4	pred.diff	5.85	pred.diff	4	1	2657
5.875	5.925	5.9 4	pred.diff	5.9	pred.diff	4	1	2716
5.925	5.95539463265209	5.95 4	pred.diff	5.95	pred.diff	4	1	2775
5.95539463265209	5.98039463265209	5.96078926530417 4	pred.diff	5.96078926530417	pred.diff	4	1	2834
5.98039463265209	6.025	6 4	pred.diff	6	pred.diff	4	1	2893
6.025	6.075	6.05 4	pred.diff	6.05	pred.diff	4	1	2952
6.075	6.125	6.1 4	pred.diff	6.1	pred.diff	4	1	3011
6.125	6.175	6.15 4	pred.diff	6.15	pred.diff	4	1	3070
6.175	6.225	6.2 4	pred.diff	6.2	pred.diff	4	1	3129
