y	x	label	showSelected1	group
0.25	-1.5	AUM=0.00	4	-1
0.25	-1.5	AUM=0.00	4.05	-1
0.25	-1.5	AUM=0.00	4.1	-1
0.25	-1.5	AUM=0.00	4.15	-1
0.25	-1.5	AUM=0.00	4.2	-1
0.25	-1.5	AUM=0.00	4.25	-1
0.25	-1.5	AUM=0.00	4.3	-1
0.25	-1.5	AUM=0.00	4.35	-1
0.25	-1.5	AUM=0.00	4.4	-1
0.25	-1.5	AUM=0.00	4.45	-1
0.25	-1.5	AUM=0.00	4.5	-1
0.25	-1.5	AUM=0.00	4.55	-1
0.25	-1.5	AUM=0.00	4.6	-1
0.25	-1.5	AUM=0.00	4.65	-1
0.25	-1.5	AUM=0.00	4.66816745440284	-1
0.25	-1.5	AUM=0.03	4.7	-1
0.25	-1.5	AUM=0.08	4.75	-1
0.25	-1.5	AUM=0.13	4.8	-1
0.25	-1.5	AUM=0.17	4.84102739939653	-1
0.25	-1.5	AUM=0.17	4.85	-1
0.25	-1.5	AUM=0.17	4.9	-1
0.25	-1.5	AUM=0.17	4.91980750606868	-1
0.25	-1.5	AUM=0.14	4.95	-1
0.25	-1.5	AUM=0.09	5	-1
0.25	-1.5	AUM=0.04	5.05	-1
0.25	-1.5	AUM=0.00	5.09266745106238	-1
0.25	-1.5	AUM=0.00	5.1	-1
0.25	-1.5	AUM=0.00	5.15	-1
0.25	-1.5	AUM=0.00	5.16792151301062	-1
0.25	-1.5	AUM=0.03	5.2	-1
0.25	-1.5	AUM=0.08	5.25	-1
0.25	-1.5	AUM=0.13	5.3	-1
0.25	-1.5	AUM=0.18	5.35	-1
0.25	-1.5	AUM=0.23	5.4	-1
0.25	-1.5	AUM=0.25	5.41956156467646	-1
0.25	-1.5	AUM=0.25	5.45	-1
0.25	-1.5	AUM=0.25	5.46103520669639	-1
0.25	-1.5	AUM=0.29	5.5	-1
0.25	-1.5	AUM=0.34	5.55	-1
0.25	-1.5	AUM=0.39	5.6	-1
0.25	-1.5	AUM=0.42	5.63389515169009	-1
0.25	-1.5	AUM=0.42	5.65	-1
0.25	-1.5	AUM=0.42	5.7	-1
0.25	-1.5	AUM=0.42	5.75	-1
0.25	-1.5	AUM=0.42	5.8	-1
0.25	-1.5	AUM=0.42	5.85	-1
0.25	-1.5	AUM=0.42	5.9	-1
0.25	-1.5	AUM=0.42	5.95	-1
0.25	-1.5	AUM=0.42	5.96078926530417	-1
0.25	-1.5	AUM=0.46	6	-1
0.25	-1.5	AUM=0.51	6.05	-1
0.25	-1.5	AUM=0.56	6.1	-1
0.25	-1.5	AUM=0.61	6.15	-1
0.25	-1.5	AUM=0.66	6.2	-1
0.25	-1.5	AUM=0.71	6.25	-1
0.25	-1.5	AUM=0.76	6.3	-1
0.25	-1.5	AUM=0.81	6.35	-1
0.25	-1.5	AUM=0.86	6.4	-1
0.25	-1.5	AUM=0.91	6.45	-1
0.25	-1.5	AUM=0.96	6.5	-1
