colour	xmin	xmax	showSelected1	showSelected2	PANEL	group
transparent	0	91	4	1	1	1
transparent	0	91	4	2	1	1
transparent	0	91	4	3	1	1
transparent	0	91	4	4	1	1
transparent	0	91	4.05	1	1	1
transparent	0	91	4.05	2	1	1
transparent	0	91	4.05	3	1	1
transparent	0	91	4.05	4	1	1
transparent	0	91	4.1	1	1	1
transparent	0	91	4.1	2	1	1
transparent	0	91	4.1	3	1	1
transparent	0	91	4.1	4	1	1
transparent	0	91	4.15	1	1	1
transparent	0	91	4.15	2	1	1
transparent	0	91	4.15	3	1	1
transparent	0	91	4.15	4	1	1
transparent	0	91	4.2	1	1	1
transparent	0	91	4.2	2	1	1
transparent	0	91	4.2	3	1	1
transparent	0	91	4.2	4	1	1
transparent	0	91	4.25	1	1	1
transparent	0	91	4.25	2	1	1
transparent	0	91	4.25	3	1	1
transparent	0	91	4.25	4	1	1
transparent	0	91	4.3	1	1	1
transparent	0	91	4.3	2	1	1
transparent	0	91	4.3	3	1	1
transparent	0	91	4.3	4	1	1
transparent	0	91	4.35	1	1	1
transparent	0	91	4.35	2	1	1
transparent	0	91	4.35	3	1	1
transparent	0	91	4.35	4	1	1
transparent	0	91	4.4	1	1	1
transparent	0	91	4.4	2	1	1
transparent	0	91	4.4	3	1	1
transparent	0	91	4.4	4	1	1
transparent	0	91	4.45	1	1	1
transparent	0	91	4.45	2	1	1
transparent	0	91	4.45	3	1	1
transparent	0	91	4.45	4	1	1
transparent	0	91	4.5	1	1	1
transparent	0	91	4.5	2	1	1
transparent	0	91	4.5	3	1	1
transparent	0	91	4.5	4	1	1
transparent	0	91	4.55	1	1	1
transparent	0	91	4.55	2	1	1
transparent	0	91	4.55	3	1	1
transparent	0	91	4.55	4	1	1
transparent	0	91	4.6	1	1	1
transparent	0	91	4.6	2	1	1
transparent	0	91	4.6	3	1	1
transparent	0	91	4.6	4	1	1
transparent	0	91	4.65	1	1	1
transparent	0	91	4.65	2	1	1
transparent	0	91	4.65	3	1	1
transparent	0	91	4.65	4	1	1
transparent	0	91	4.66816745440284	1	1	1
transparent	0	91	4.66816745440284	2	1	1
transparent	0	91	4.66816745440284	3	1	1
transparent	0	91	4.7	1	1	1
transparent	0	91	4.7	2	1	1
transparent	0	91	4.7	3	1	1
transparent	0	91	4.75	1	1	1
transparent	0	91	4.75	2	1	1
transparent	0	91	4.75	3	1	1
transparent	0	91	4.8	1	1	1
transparent	0	91	4.8	2	1	1
transparent	0	91	4.8	3	1	1
transparent	0	91	4.84102739939653	1	1	1
transparent	0	91	4.84102739939653	2	1	1
transparent	0	91	4.84102739939653	3	1	1
transparent	0	91	4.85	1	1	1
transparent	0	91	4.85	2	1	1
transparent	0	91	4.85	3	1	1
transparent	0	91	4.9	1	1	1
transparent	0	91	4.9	2	1	1
transparent	0	91	4.9	3	1	1
transparent	0	91	4.91980750606868	1	1	1
transparent	0	91	4.91980750606868	2	1	1
transparent	0	91	4.95	1	1	1
transparent	0	91	4.95	2	1	1
transparent	0	91	5	1	1	1
transparent	0	91	5	2	1	1
transparent	0	91	5.05	1	1	1
transparent	0	91	5.05	2	1	1
transparent	0	91	5.09266745106238	1	1	1
transparent	0	91	5.09266745106238	2	1	1
transparent	0	91	5.1	1	1	1
transparent	0	91	5.1	2	1	1
transparent	0	91	5.15	1	1	1
transparent	0	91	5.15	2	1	1
transparent	0	91	5.16792151301062	1	1	1
transparent	0	91	5.16792151301062	2	1	1
transparent	0	91	5.2	1	1	1
transparent	0	91	5.2	2	1	1
transparent	0	91	5.25	1	1	1
transparent	0	91	5.25	2	1	1
transparent	0	91	5.3	1	1	1
transparent	0	91	5.3	2	1	1
transparent	0	91	5.35	1	1	1
transparent	0	91	5.35	2	1	1
transparent	0	91	5.4	1	1	1
transparent	0	91	5.4	2	1	1
transparent	0	91	5.41956156467646	1	1	1
transparent	0	91	5.41956156467646	2	1	1
transparent	0	91	5.45	1	1	1
transparent	0	91	5.45	2	1	1
transparent	0	91	5.46103520669639	1	1	1
transparent	0	91	5.5	1	1	1
transparent	0	91	5.55	1	1	1
transparent	0	91	5.6	1	1	1
transparent	0	91	5.63389515169009	1	1	1
transparent	0	91	5.65	1	1	1
transparent	0	91	5.7	1	1	1
transparent	0	91	5.75	1	1	1
transparent	0	91	5.8	1	1	1
transparent	0	91	5.85	1	1	1
transparent	0	91	5.9	1	1	1
transparent	0	91	5.95	1	1	1
transparent	0	91	5.96078926530417	1	1	1
transparent	0	91	6	1	1	1
transparent	0	91	6.05	1	1	1
transparent	0	91	6.1	1	1	1
transparent	0	91	6.15	1	1	1
transparent	0	91	6.2	1	1	1
