y	x	label	showSelected1	group
-0.25	-2.02930047961761	1	4	-1
-0.25	-1.65868662930376	2	4	-1
-0.25	-1.26225275315698	3	4	-1
-0.25	-0.802349000122638	4	4	-1
-0.25	-0.381835300424372	5	4	-1
-0.25	-0.131958271120483	6	4	-1
-0.25	0.131488785686559	7	4	-1
-0.25	-2.02930047961761	1	4.05	-1
-0.25	-1.65868662930376	2	4.05	-1
-0.25	-1.26225275315698	3	4.05	-1
-0.25	-0.827349000122638	4	4.05	-1
-0.25	-0.431835300424371	5	4.05	-1
-0.25	-0.181958271120483	6	4.05	-1
-0.25	0.0814887856865591	7	4.05	-1
-0.25	-2.02930047961761	1	4.1	-1
-0.25	-1.65868662930376	2	4.1	-1
-0.25	-1.26225275315698	3	4.1	-1
-0.25	-0.852349000122638	4	4.1	-1
-0.25	-0.481835300424371	5	4.1	-1
-0.25	-0.231958271120482	6	4.1	-1
-0.25	0.0314887856865592	7	4.1	-1
-0.25	-2.02930047961761	1	4.15	-1
-0.25	-1.65868662930376	2	4.15	-1
-0.25	-1.26225275315698	3	4.15	-1
-0.25	-0.877349000122638	4	4.15	-1
-0.25	-0.531835300424372	5	4.15	-1
-0.25	-0.281958271120483	6	4.15	-1
-0.25	-0.0185112143134415	7	4.15	-1
-0.25	-2.02930047961761	1	4.2	-1
-0.25	-1.65868662930376	2	4.2	-1
-0.25	-1.26225275315698	3	4.2	-1
-0.25	-0.902349000122638	4	4.2	-1
-0.25	-0.581835300424372	5	4.2	-1
-0.25	-0.331958271120483	6	4.2	-1
-0.25	-0.0685112143134413	7	4.2	-1
-0.25	-2.02930047961761	1	4.25	-1
-0.25	-1.65868662930376	2	4.25	-1
-0.25	-1.26225275315698	3	4.25	-1
-0.25	-0.927349000122638	4	4.25	-1
-0.25	-0.631835300424372	5	4.25	-1
-0.25	-0.381958271120483	6	4.25	-1
-0.25	-0.118511214313441	7	4.25	-1
-0.25	-2.02930047961761	1	4.3	-1
-0.25	-1.65868662930376	2	4.3	-1
-0.25	-1.26225275315698	3	4.3	-1
-0.25	-0.952349000122638	4	4.3	-1
-0.25	-0.681835300424371	5	4.3	-1
-0.25	-0.431958271120483	6	4.3	-1
-0.25	-0.168511214313441	7	4.3	-1
-0.25	-2.02930047961761	1	4.35	-1
-0.25	-1.65868662930376	2	4.35	-1
-0.25	-1.26225275315698	3	4.35	-1
-0.25	-0.977349000122638	4	4.35	-1
-0.25	-0.731835300424371	5	4.35	-1
-0.25	-0.481958271120482	6	4.35	-1
-0.25	-0.218511214313441	7	4.35	-1
-0.25	-2.02930047961761	1	4.4	-1
-0.25	-1.65868662930376	2	4.4	-1
-0.25	-1.26225275315698	3	4.4	-1
-0.25	-1.00234900012264	4	4.4	-1
-0.25	-0.781835300424372	5	4.4	-1
-0.25	-0.531958271120483	6	4.4	-1
-0.25	-0.268511214313441	7	4.4	-1
-0.25	-2.02930047961761	1	4.45	-1
-0.25	-1.65868662930376	2	4.45	-1
-0.25	-1.26225275315698	3	4.45	-1
-0.25	-1.02734900012264	4	4.45	-1
-0.25	-0.831835300424372	5	4.45	-1
-0.25	-0.581958271120483	6	4.45	-1
-0.25	-0.318511214313441	7	4.45	-1
-0.25	-2.02930047961761	1	4.5	-1
-0.25	-1.65868662930376	2	4.5	-1
-0.25	-1.26225275315698	3	4.5	-1
-0.25	-1.05234900012264	4	4.5	-1
-0.25	-0.881835300424372	5	4.5	-1
-0.25	-0.631958271120483	6	4.5	-1
-0.25	-0.368511214313441	7	4.5	-1
-0.25	-2.02930047961761	1	4.55	-1
-0.25	-1.65868662930376	2	4.55	-1
-0.25	-1.26225275315698	3	4.55	-1
-0.25	-1.07734900012264	4	4.55	-1
-0.25	-0.931835300424371	5	4.55	-1
-0.25	-0.681958271120483	6	4.55	-1
-0.25	-0.418511214313441	7	4.55	-1
-0.25	-2.02930047961761	1	4.6	-1
-0.25	-1.65868662930376	2	4.6	-1
-0.25	-1.26225275315698	3	4.6	-1
-0.25	-1.10234900012264	4	4.6	-1
-0.25	-0.981835300424371	5	4.6	-1
-0.25	-0.731958271120482	6	4.6	-1
-0.25	-0.468511214313441	7	4.6	-1
-0.25	-2.02930047961761	1	4.65	-1
-0.25	-1.65868662930376	2	4.65	-1
-0.25	-1.26225275315698	3	4.65	-1
-0.25	-1.12734900012264	4	4.65	-1
-0.25	-1.03183530042437	5	4.65	-1
-0.25	-0.781958271120483	6	4.65	-1
-0.25	-0.518511214313442	7	4.65	-1
-0.25	-2.02930047961761	1	4.66816745440284	-1
-0.25	-1.65868662930376	2	4.66816745440284	-1
-0.25	-1.26225275315698	3	4.66816745440284	-1
-0.25	-1.05000275482721	4	4.66816745440284	-1
-0.25	-0.800125725523322	5	4.66816745440284	-1
-0.25	-0.53667866871628	6	4.66816745440284	-1
-0.25	-2.02930047961761	1	4.7	-1
-0.25	-1.65868662930376	2	4.7	-1
-0.25	-1.27816902595556	3	4.7	-1
-0.25	-1.15234900012264	4	4.7	-1
-0.25	-1.06591902762579	5	4.7	-1
-0.25	-0.831958271120483	6	4.7	-1
-0.25	-0.568511214313441	7	4.7	-1
-0.25	-2.02930047961761	1	4.75	-1
-0.25	-1.65868662930376	2	4.75	-1
-0.25	-1.30316902595556	3	4.75	-1
-0.25	-1.17734900012264	4	4.75	-1
-0.25	-1.09091902762579	5	4.75	-1
-0.25	-0.881958271120483	6	4.75	-1
-0.25	-0.618511214313441	7	4.75	-1
