x	y	showSelected1	showSelected2
1	1	5.7	7
0	0	5.75	1
1	0	5.75	2
0	0	5.75	3
0	1	5.75	4
1	1	5.75	5
1	0	5.75	6
1	1	5.75	7
0	0	5.8	1
1	0	5.8	2
0	0	5.8	3
0	1	5.8	4
1	1	5.8	5
1	0	5.8	6
1	1	5.8	7
0	0	5.85	1
1	0	5.85	2
0	0	5.85	3
0	1	5.85	4
1	1	5.85	5
1	0	5.85	6
1	1	5.85	7
0	0	5.9	1
1	0	5.9	2
0	0	5.9	3
0	1	5.9	4
1	1	5.9	5
1	0	5.9	6
1	1	5.9	7
0	0	5.95	1
1	0	5.95	2
0	0	5.95	3
0	1	5.95	4
1	1	5.95	5
1	0	5.95	6
1	1	5.95	7
0	0	5.96078926530417	1
1	0	5.96078926530417	2
0	0	5.96078926530417	3
1	1	5.96078926530417	4
1	0	5.96078926530417	5
1	1	5.96078926530417	6
0	0	6	1
1	0	6	2
0	0	6	3
1	0	6	4
1	1	6	5
1	0	6	6
1	1	6	7
0	0	6.05	1
1	0	6.05	2
0	0	6.05	3
1	0	6.05	4
1	1	6.05	5
1	0	6.05	6
1	1	6.05	7
0	0	6.1	1
1	0	6.1	2
0	0	6.1	3
1	0	6.1	4
1	1	6.1	5
1	0	6.1	6
1	1	6.1	7
0	0	6.15	1
1	0	6.15	2
0	0	6.15	3
1	0	6.15	4
1	1	6.15	5
1	0	6.15	6
1	1	6.15	7
0	0	6.2	1
1	0	6.2	2
0	0	6.2	3
1	0	6.2	4
1	1	6.2	5
1	0	6.2	6
1	1	6.2	7
0	0	6.25	1
1	0	6.25	2
0	0	6.25	3
1	0	6.25	4
1	1	6.25	5
1	0	6.25	6
1	1	6.25	7
0	0	6.3	1
1	0	6.3	2
0	0	6.3	3
1	0	6.3	4
1	1	6.3	5
1	0	6.3	6
1	1	6.3	7
0	0	6.35	1
1	0	6.35	2
0	0	6.35	3
1	0	6.35	4
1	1	6.35	5
1	0	6.35	6
1	1	6.35	7
0	0	6.4	1
1	0	6.4	2
0	0	6.4	3
1	0	6.4	4
1	1	6.4	5
1	0	6.4	6
1	1	6.4	7
0	0	6.45	1
1	0	6.45	2
0	0	6.45	3
1	0	6.45	4
1	1	6.45	5
1	0	6.45	6
1	1	6.45	7
0	0	6.5	1
1	0	6.5	2
0	0	6.5	3
1	0	6.5	4
1	1	6.5	5
1	0	6.5	6
1	1	6.5	7
