y	x	label	showSelected1	showSelected2	PANEL	group
-0.3	1.87069952038239	pred.diff=4.00	4	1	1	-1
-0.3	2.24131337069624	pred.diff=4.00	4	2	1	-1
-0.3	2.63774724684302	pred.diff=4.00	4	3	1	-1
-0.3	3.09765099987736	pred.diff=4.00	4	4	1	-1
-0.3	3.51816469957563	pred.diff=4.00	4	5	1	-1
-0.3	3.76804172887952	pred.diff=4.00	4	6	1	-1
-0.3	4.03148878568656	pred.diff=4.00	4	7	1	-1
-0.3	1.92069952038239	pred.diff=4.05	4.05	1	1	-1
-0.3	2.29131337069624	pred.diff=4.05	4.05	2	1	-1
-0.3	2.68774724684302	pred.diff=4.05	4.05	3	1	-1
-0.3	3.12265099987736	pred.diff=4.05	4.05	4	1	-1
-0.3	3.51816469957563	pred.diff=4.05	4.05	5	1	-1
-0.3	3.76804172887952	pred.diff=4.05	4.05	6	1	-1
-0.3	4.03148878568656	pred.diff=4.05	4.05	7	1	-1
-0.3	1.97069952038239	pred.diff=4.10	4.1	1	1	-1
-0.3	2.34131337069624	pred.diff=4.10	4.1	2	1	-1
-0.3	2.73774724684302	pred.diff=4.10	4.1	3	1	-1
-0.3	3.14765099987736	pred.diff=4.10	4.1	4	1	-1
-0.3	3.51816469957563	pred.diff=4.10	4.1	5	1	-1
-0.3	3.76804172887952	pred.diff=4.10	4.1	6	1	-1
-0.3	4.03148878568656	pred.diff=4.10	4.1	7	1	-1
-0.3	2.02069952038239	pred.diff=4.15	4.15	1	1	-1
-0.3	2.39131337069624	pred.diff=4.15	4.15	2	1	-1
-0.3	2.78774724684302	pred.diff=4.15	4.15	3	1	-1
-0.3	3.17265099987736	pred.diff=4.15	4.15	4	1	-1
-0.3	3.51816469957563	pred.diff=4.15	4.15	5	1	-1
-0.3	3.76804172887952	pred.diff=4.15	4.15	6	1	-1
-0.3	4.03148878568656	pred.diff=4.15	4.15	7	1	-1
-0.3	2.07069952038239	pred.diff=4.20	4.2	1	1	-1
-0.3	2.44131337069624	pred.diff=4.20	4.2	2	1	-1
-0.3	2.83774724684302	pred.diff=4.20	4.2	3	1	-1
-0.3	3.19765099987736	pred.diff=4.20	4.2	4	1	-1
-0.3	3.51816469957563	pred.diff=4.20	4.2	5	1	-1
-0.3	3.76804172887952	pred.diff=4.20	4.2	6	1	-1
-0.3	4.03148878568656	pred.diff=4.20	4.2	7	1	-1
-0.3	2.12069952038239	pred.diff=4.25	4.25	1	1	-1
-0.3	2.49131337069624	pred.diff=4.25	4.25	2	1	-1
-0.3	2.88774724684302	pred.diff=4.25	4.25	3	1	-1
-0.3	3.22265099987736	pred.diff=4.25	4.25	4	1	-1
-0.3	3.51816469957563	pred.diff=4.25	4.25	5	1	-1
-0.3	3.76804172887952	pred.diff=4.25	4.25	6	1	-1
-0.3	4.03148878568656	pred.diff=4.25	4.25	7	1	-1
-0.3	2.17069952038239	pred.diff=4.30	4.3	1	1	-1
-0.3	2.54131337069624	pred.diff=4.30	4.3	2	1	-1
-0.3	2.93774724684302	pred.diff=4.30	4.3	3	1	-1
-0.3	3.24765099987736	pred.diff=4.30	4.3	4	1	-1
-0.3	3.51816469957563	pred.diff=4.30	4.3	5	1	-1
-0.3	3.76804172887952	pred.diff=4.30	4.3	6	1	-1
-0.3	4.03148878568656	pred.diff=4.30	4.3	7	1	-1
-0.3	2.22069952038239	pred.diff=4.35	4.35	1	1	-1
