x	y	label	clickSelects	showSelected1	group
1.04	1.01	7	7	4.9	-1
0.04	0.01	1	1	4.91980750606868	-1
0.04	1.01	2	2	4.91980750606868	-1
1.04	0.01	3	3	4.91980750606868	-1
0.08	0.01	4	4	4.91980750606868	-1
0.08	1.01	5	5	4.91980750606868	-1
1.04	1.01	6	6	4.91980750606868	-1
0.04	0.01	1	1	4.95	-1
0.04	1.01	2	2	4.95	-1
1.04	1.01	3	3	4.95	-1
1.04	0.01	4	4	4.95	-1
0.08	0.01	5	5	4.95	-1
0.08	1.01	6	6	4.95	-1
1.08	1.01	7	7	4.95	-1
0.04	0.01	1	1	5	-1
0.04	1.01	2	2	5	-1
1.04	1.01	3	3	5	-1
1.04	0.01	4	4	5	-1
0.08	0.01	5	5	5	-1
0.08	1.01	6	6	5	-1
1.08	1.01	7	7	5	-1
0.04	0.01	1	1	5.05	-1
0.04	1.01	2	2	5.05	-1
1.04	1.01	3	3	5.05	-1
1.04	0.01	4	4	5.05	-1
0.08	0.01	5	5	5.05	-1
0.08	1.01	6	6	5.05	-1
1.08	1.01	7	7	5.05	-1
0.04	0.01	1	1	5.09266745106238	-1
0.04	1.01	2	2	5.09266745106238	-1
1.04	1.01	3	3	5.09266745106238	-1
0.08	0.01	4	4	5.09266745106238	-1
0.08	1.01	5	5	5.09266745106238	-1
1.08	1.01	6	6	5.09266745106238	-1
0.04	0.01	1	1	5.1	-1
0.04	1.01	2	2	5.1	-1
1.04	1.01	3	3	5.1	-1
0.08	1.01	4	4	5.1	-1
0.08	0.01	5	5	5.1	-1
0.12	1.01	6	6	5.1	-1
1.08	1.01	7	7	5.1	-1
0.04	0.01	1	1	5.15	-1
0.04	1.01	2	2	5.15	-1
1.04	1.01	3	3	5.15	-1
0.08	1.01	4	4	5.15	-1
0.08	0.01	5	5	5.15	-1
0.12	1.01	6	6	5.15	-1
1.08	1.01	7	7	5.15	-1
0.04	0.01	1	1	5.16792151301062	-1
0.04	1.01	2	2	5.16792151301062	-1
1.04	1.01	3	3	5.16792151301062	-1
0.08	1.01	4	4	5.16792151301062	-1
0.08	0.01	5	5	5.16792151301062	-1
1.08	1.01	6	6	5.16792151301062	-1
0.04	0.01	1	1	5.2	-1
0.04	1.01	2	2	5.2	-1
1.04	1.01	3	3	5.2	-1
0.08	1.01	4	4	5.2	-1
0.08	0.01	5	5	5.2	-1
1.04	0.01	6	6	5.2	-1
1.08	1.01	7	7	5.2	-1
0.04	0.01	1	1	5.25	-1
0.04	1.01	2	2	5.25	-1
1.04	1.01	3	3	5.25	-1
0.08	1.01	4	4	5.25	-1
0.08	0.01	5	5	5.25	-1
1.04	0.01	6	6	5.25	-1
1.08	1.01	7	7	5.25	-1
0.04	0.01	1	1	5.3	-1
0.04	1.01	2	2	5.3	-1
1.04	1.01	3	3	5.3	-1
0.08	1.01	4	4	5.3	-1
0.08	0.01	5	5	5.3	-1
1.04	0.01	6	6	5.3	-1
1.08	1.01	7	7	5.3	-1
0.04	0.01	1	1	5.35	-1
0.04	1.01	2	2	5.35	-1
