y	yend	x	xend	showSelected1	showSelected2	PANEL
-0.49	-0.49	-2.02930047961761	1.97069952038239	4	1	1
-0.49	-0.49	-1.65868662930376	2.34131337069624	4	2	1
-0.49	-0.49	-1.26225275315698	2.73774724684302	4	3	1
-0.49	-0.49	-0.802349000122638	3.19765099987736	4	4	1
-0.49	-0.49	-0.381835300424372	3.61816469957563	4	5	1
-0.49	-0.49	-0.131958271120483	3.86804172887952	4	6	1
-0.49	-0.49	0.131488785686559	4.13148878568656	4	7	1
-0.49	-0.49	-2.02930047961761	2.02069952038239	4.05	1	1
-0.49	-0.49	-1.65868662930376	2.39131337069624	4.05	2	1
-0.49	-0.49	-1.26225275315698	2.78774724684302	4.05	3	1
-0.49	-0.49	-0.827349000122638	3.22265099987736	4.05	4	1
-0.49	-0.49	-0.431835300424371	3.61816469957563	4.05	5	1
-0.49	-0.49	-0.181958271120483	3.86804172887952	4.05	6	1
-0.49	-0.49	0.0814887856865591	4.13148878568656	4.05	7	1
-0.49	-0.49	-2.02930047961761	2.07069952038239	4.1	1	1
-0.49	-0.49	-1.65868662930376	2.44131337069624	4.1	2	1
-0.49	-0.49	-1.26225275315698	2.83774724684302	4.1	3	1
-0.49	-0.49	-0.852349000122638	3.24765099987736	4.1	4	1
-0.49	-0.49	-0.481835300424371	3.61816469957563	4.1	5	1
-0.49	-0.49	-0.231958271120482	3.86804172887952	4.1	6	1
-0.49	-0.49	0.0314887856865592	4.13148878568656	4.1	7	1
-0.49	-0.49	-2.02930047961761	2.12069952038239	4.15	1	1
-0.49	-0.49	-1.65868662930376	2.49131337069624	4.15	2	1
-0.49	-0.49	-1.26225275315698	2.88774724684302	4.15	3	1
-0.49	-0.49	-0.877349000122638	3.27265099987736	4.15	4	1
-0.49	-0.49	-0.531835300424372	3.61816469957563	4.15	5	1
-0.49	-0.49	-0.281958271120483	3.86804172887952	4.15	6	1
-0.49	-0.49	-0.0185112143134415	4.13148878568656	4.15	7	1
-0.49	-0.49	-2.02930047961761	2.17069952038239	4.2	1	1
-0.49	-0.49	-1.65868662930376	2.54131337069624	4.2	2	1
-0.49	-0.49	-1.26225275315698	2.93774724684302	4.2	3	1
