colour	size	y	yend	x	xend	showSelected1	PANEL
#FF0000	6	0	0	-3.49485690020108	3.53173472707878	FP	1
#FF0000	6	1	1	3.53173472707878	3.70459467207248	FP	1
#FF0000	6	0	0	3.70459467207248	4.03148878568656	FP	1
#FF0000	6	1	1	4.03148878568656	4.53808161147197	FP	1
#FF0000	6	1	1	4.53808161147197	4.86731124188973	FP	1
#FF0000	6	1	1	4.86731124188973	4.92215022829335	FP	1
#FF0000	6	1	1	4.92215022829335	4.97601494570194	FP	1
#FF0000	6	1	1	4.97601494570194	5.23444267519592	FP	1
#FF0000	6	1	1	5.23444267519592	5.29063677236315	FP	1
#FF0000	6	1	1	5.29063677236315	5.8901588999558	FP	1
#00BFFF	4	0	0	-3.49485690020108	3.53173472707878	FN	1
#00BFFF	4	0	0	3.53173472707878	3.70459467207248	FN	1
#00BFFF	4	0	0	3.70459467207248	4.03148878568656	FN	1
#00BFFF	4	0	0	4.03148878568656	4.53808161147197	FN	1
#00BFFF	4	0	0	4.53808161147197	4.86731124188973	FN	1
#00BFFF	4	0	0	4.86731124188973	4.92215022829335	FN	1
#00BFFF	4	0	0	4.92215022829335	4.97601494570194	FN	1
#00BFFF	4	0	0	4.97601494570194	5.23444267519592	FN	1
#00BFFF	4	0	0	5.23444267519592	5.29063677236315	FN	1
#00BFFF	4	0	0	5.29063677236315	5.8901588999558	FN	1
#FF0000	6	0	0	-3.49485690020108	-1.92930047961761	FP	2
#FF0000	6	0	0	-1.92930047961761	-1.3880727789899	FP	2
#FF0000	6	0	0	-1.3880727789899	-1.13643272732406	FP	2
#FF0000	6	0	0	-1.13643272732406	1.36503598853576	FP	2
#FF0000	6	0	0	1.36503598853576	2.26861906020817	FP	2
#FF0000	6	0	0	2.26861906020817	2.7075011720208	FP	2
#FF0000	6	0	0	2.7075011720208	2.83163579249532	FP	2
#FF0000	6	0	0	2.83163579249532	2.84214141600921	FP	2
#FF0000	6	0	0	2.84214141600921	2.86800744537138	FP	2
#FF0000	6	0	0	2.86800744537138	2.88156862605771	FP	2
#FF0000	6	0	0	2.88156862605771	3.00091833435432	FP	2
#FF0000	6	0	0	3.00091833435432	3.25818648236058	FP	2
#FF0000	6	0	0	3.25818648236058	3.3011543032533	FP	2
#FF0000	6	0	0	3.3011543032533	3.5666344010602	FP	2
#FF0000	6	0	0	3.5666344010602	5.8901588999558	FP	2
#00BFFF	4	1	1	-3.49485690020108	-1.92930047961761	FN	2
#00BFFF	4	0	0	-1.92930047961761	-1.3880727789899	FN	2
#00BFFF	4	1	1	-1.3880727789899	-1.13643272732406	FN	2
#00BFFF	4	0	0	-1.13643272732406	1.36503598853576	FN	2
#00BFFF	4	0	0	1.36503598853576	2.26861906020817	FN	2
#00BFFF	4	0	0	2.26861906020817	2.7075011720208	FN	2
#00BFFF	4	0	0	2.7075011720208	2.83163579249532	FN	2
#00BFFF	4	0	0	2.83163579249532	2.84214141600921	FN	2
#00BFFF	4	0	0	2.84214141600921	2.86800744537138	FN	2
#00BFFF	4	0	0	2.86800744537138	2.88156862605771	FN	2
#00BFFF	4	0	0	2.88156862605771	3.00091833435432	FN	2
#00BFFF	4	0	0	3.00091833435432	3.25818648236058	FN	2
#00BFFF	4	0	0	3.25818648236058	3.3011543032533	FN	2
#00BFFF	4	0	0	3.3011543032533	3.5666344010602	FN	2
#00BFFF	4	0	0	3.5666344010602	5.8901588999558	FN	2
